Index,Temp 1,Temp 2,Temp 3,Humidity 1,Humidity 2,Humidity 3,CO2 1,CO2 2,CO2 3,Main Light,POT Light 1,POT Light 2,POT Light 3
#,8:00 AM,4:00 PM,12:00 PM,8:00 AM,4:00 PM,12:00 PM,8:00 AM,4:00 PM,12:00 PM,"[0-24,0-100]","[0-24,0-100]","[0-24,0-100]","[0-24,0-100]"
68,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
69,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
70,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
71,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
72,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
73,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
74,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
75,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
76,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
77,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
78,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
79,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
80,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
81,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
82,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
83,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
84,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
85,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
86,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
87,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
88,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
89,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
90,30,20,20,60,40,40,50,50,50,"0,16","0,0","0,0","0,0"
91,30,20,20,60,30,30,50,50,50,"0,16","0,0","0,0","0,0"
92,30,20,20,60,30,30,50,50,50,"0,16","0,0","0,0","0,0"
93,30,20,20,60,30,30,50,50,50,"0,16","0,0","0,0","0,0"
94,30,20,20,60,30,30,50,50,50,"0,16","0,0","0,0","0,0"
95,30,20,20,60,30,30,50,50,50,"0,15","0,0","0,0","0,0"
96,30,20,20,60,30,30,50,50,50,"0,15","0,0","0,0","0,0"
97,30,20,20,60,30,30,50,50,50,"0,15","0,0","0,0","0,0"
98,30,20,20,60,30,30,50,50,50,"0,14","0,0","0,0","0,0"
99,30,20,20,60,30,30,50,50,50,"0,14","0,0","0,0","0,0"
100,25,15,15,60,30,30,50,50,50,"0,14","0,0","0,0","0,0"
101,25,15,15,60,30,30,50,50,50,"0,13","0,0","0,0","0,0"
102,25,15,15,60,30,30,50,50,50,"0,13","0,0","0,0","0,0"
103,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
104,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
105,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
106,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
107,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
108,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
109,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
110,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
111,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
112,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
113,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
114,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
115,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
116,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
117,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
118,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
119,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
120,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
121,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
122,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
123,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
124,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
125,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
